name,type,gu_name,dong_name,latitude,longitude
워시클리어셀프빨래방,셀프빨래방,동작구,신대방1동,37.486599,126.9071775
런드리나인 셀프빨래방 런드리스페이스점,셀프빨래방,동작구,대방동,37.5112868,126.9274558
24시셀프빨래방플러스 상도점,셀프빨래방,동작구,상도2동,37.5014493,126.9438142
워시피플셀프빨래방 흑석중앙대점,셀프빨래방,동작구,흑석동,37.5096318,126.9622042
크린라이프 중앙대본점,셀프빨래방,동작구,상도1동,37.5049479,126.9515929
크린토피아 코인워시365 신촌그랑자이점,셀프빨래방,마포구,대흥동,37.5557713,126.9433549
24시 빨래터 이대역점,셀프빨래방,마포구,대흥동,37.5533071,126.9454044
워시엔조이 마포용강점,셀프빨래방,마포구,용강동,37.5422755,126.9382349
코인워시24빨래터 합정역점,셀프빨래방,마포구,합정동,37.5476309,126.9144439
크린토피아 코인워시 마포염리자이점,셀프빨래방,마포구,용강동,37.5433654,126.946188
워시플랜트,셀프빨래방,마포구,서교동,37.5571757,126.921722
워시엔조이 마포합정점,셀프빨래방,마포구,망원1동,37.5533302,126.9083816
코인워시24빨래방 공덕점,셀프빨래방,마포구,아현동,37.5474542,126.9530943
크린토피아 코인워시365 마포애오개역점,셀프빨래방,마포구,공덕동,37.5525007,126.956863
런드리고24 마포역점,셀프빨래방,마포구,용강동,37.5399848,126.9454475
화이트365 마포역점,셀프빨래방,마포구,용강동,37.5399848,126.9454475
셀빨래방 염리점,셀프빨래방,마포구,염리동,37.5489465,126.9491329
크린업24 마포아현점,셀프빨래방,마포구,공덕동,37.5511529,126.9565422
화이트365 공덕점,셀프빨래방,마포구,공덕동,37.5490767,126.9596108
감성빨래방,셀프빨래방,마포구,상암동,37.5768849,126.8961548
마포구청 스타셀프빨래방,셀프빨래방,마포구,성산2동,37.564232,126.9037055
크린업24 마포대흥점,셀프빨래방,마포구,대흥동,37.5484479,126.9411041
크린업24 성산점,셀프빨래방,마포구,성산1동,37.564204,126.915682
24시간빨래하는날,셀프빨래방,마포구,연남동,37.5630927,126.9181589
더런드리 연남점,셀프빨래방,마포구,연남동,37.5643706,126.9180179
런드리익스프레스샵 연남점,셀프빨래방,마포구,연남동,37.5636252,126.9243548
크린토피아 코인워시365 마포건영월드컵점,셀프빨래방,마포구,성산2동,37.5680838,126.9124042
크린토피아 코인워시 합정역점,셀프빨래방,마포구,합정동,37.5465038,126.9130667
원더런드리,셀프빨래방,마포구,공덕동,37.5575861,126.9606911
런드리익스프레스샵 신촌점,셀프빨래방,마포구,서교동,37.554569,126.9336117
몬투노샵,셀프빨래방,마포구,대흥동,37.5549479,126.9379781
크린토피아 코인워시 마포아현초교점,셀프빨래방,마포구,아현동,37.5559403,126.9548075
아쿠아워시 24시 셀프빨래방 아현점,셀프빨래방,마포구,아현동,37.5527458,126.9528639
런드리24 합정해링턴점,셀프빨래방,마포구,서교동,37.5508138,126.916494
워시엔조이 마포연남점,셀프빨래방,마포구,연남동,37.5610343,126.9199526
호스텔클레오 코인런드리,셀프빨래방,마포구,서교동,37.5613828,126.9266646
24시셀프빨래방 상수역점,셀프빨래방,마포구,서강동,37.5459462,126.9231041
워시피플 마포구홍대점,셀프빨래방,마포구,서강동,37.5530711,126.9272691
버블맨24 홍대점,셀프빨래방,마포구,서강동,37.5544795,126.9302525
경의선 빨래방,셀프빨래방,마포구,서교동,37.5547591,126.9314807
빨래살롱,셀프빨래방,마포구,서교동,37.5536943,126.9142647
화이트365 홍대입구역점,셀프빨래방,마포구,서교동,37.5569002,126.9226192
이지워시셀프빨래방 상암점,셀프빨래방,마포구,상암동,37.5748583,126.8953856
런드리24 펭귄하우스 마포성산점,셀프빨래방,마포구,성산1동,37.5588788,126.9163414
버블맨24 마포서교점,셀프빨래방,마포구,성산1동,37.5588788,126.9163414
뽀송빨래방,셀프빨래방,마포구,신수동,37.5450075,126.9353094
크린토피아 코인워시 홈플러스EX마포용강점,셀프빨래방,마포구,용강동,37.5410713,126.9412851
코인워시24 만리동점,셀프빨래방,마포구,공덕동,37.5529761,126.9613037
크린토피아 코인워시 만리한겨레점,셀프빨래방,마포구,공덕동,37.5479361,126.9607398
24시셀프빨래방 만리점,셀프빨래방,마포구,공덕동,37.5487411,126.9635607
워시큐 망원점,셀프빨래방,마포구,망원1동,37.5525734,126.9045638
우리동네빨래방,셀프빨래방,마포구,망원1동,37.5561992,126.9039166
크린토피아 코인워시 남가좌현대점,셀프빨래방,서대문구,남가좌2동,37.5760115,126.9208234
크린토피아 코인워시 남가좌파크뷰자이점,셀프빨래방,서대문구,남가좌1동,37.574402,126.9179078
코인워시24 북가좌점,셀프빨래방,서대문구,북가좌2동,37.5770955,126.9109727
코인워시24빨래터 서대문역점,셀프빨래방,서대문구,충현동,37.5657405,126.9646557
코인셀프빨래방,셀프빨래방,서대문구,충현동,37.5643103,126.9601713
셀빨래방 독립문점,셀프빨래방,서대문구,천연동,37.5684456,126.961683
화이트365 서대문역점,셀프빨래방,서대문구,천연동,37.5668277,126.9639753
워시팡팡 셀프빨래방 명지대점,셀프빨래방,서대문구,남가좌2동,37.5821547,126.9238834
코인워시 24빨래터 명지대점,셀프빨래방,서대문구,홍은2동,37.5816119,126.9247916
워시큐셀프빨래방 명지대점,셀프빨래방,서대문구,남가좌2동,37.5836956,126.9233825
AMPM워시큐 명지대점,셀프빨래방,서대문구,남가좌2동,37.5836956,126.9233825
더런드리 DMC점,셀프빨래방,서대문구,남가좌1동,37.5699013,126.9178357
코인워시24빨래터 북아현점,셀프빨래방,서대문구,충현동,37.5641865,126.9538154
런드리24펭귄하우스 아현점,셀프빨래방,서대문구,북아현동,37.5580681,126.9513991
워시스토리셀프빨래방 연희연세대점,세탁소,서대문구,연희동,37.563121,126.9312236
코인워시24 상명대점,셀프빨래방,서대문구,홍제3동,37.5968772,126.9493252
아쿠아워시 24시 셀프빨래방 홍제점,셀프빨래방,서대문구,홍제3동,37.5918297,126.946262
워시엔조이 홍대역점,셀프빨래방,서대문구,신촌동,37.5590628,126.9284147
크린토피아 코인워시 북아현이편한세상신촌점,셀프빨래방,서대문구,북아현동,37.5576747,126.9529582
크린업24 창천점,셀프빨래방,서대문구,신촌동,37.5573689,126.9392762
버블맨24 신촌역점,셀프빨래방,서대문구,신촌동,37.5577101,126.9422991
화이트365 신촌점,셀프빨래방,서대문구,신촌동,37.558297,126.9394785
런드리데이 신촌점,셀프빨래방,서대문구,신촌동,37.5584008,126.9338351
이지워시셀프빨래방 홍은정원단지점,셀프빨래방,서대문구,홍은2동,37.5866276,126.9346617
워시큐 연희브라운스톤점,셀프빨래방,서대문구,연희동,37.5652133,126.9302076
화이트365 연희점,셀프빨래방,서대문구,연희동,37.5663532,126.9309751
세탁풍경 연희점,셀프빨래방,서대문구,연희동,37.5667634,126.9321058
워시프렌즈 셀프빨래방 연희점,셀프빨래방,서대문구,연희동,37.5693976,126.9321874
코인워시24빨래터 연희점,셀프빨래방,서대문구,연희동,37.5617072,126.9279347
크린업24 북가좌점,셀프빨래방,서대문구,북가좌2동,37.5850892,126.9143999
AMPM 워시큐 이대점,셀프빨래방,서대문구,신촌동,37.557358,126.9441565
런드리익스프레스샵 이대점,셀프빨래방,서대문구,신촌동,37.558131,126.9437627
런드리24 펭귄하우스 이대1호점,셀프빨래방,서대문구,신촌동,37.558131,126.9437627
크린토피아 코인워시365 남가좌래미안1차점,셀프빨래방,서대문구,북가좌2동,37.5799749,126.9159072
워시엔조이 연희점,셀프빨래방,서대문구,연희동,37.5702694,126.9305364
화이트365 명지대점,셀프빨래방,서대문구,남가좌2동,37.5791275,126.9252836
크린토피아 코인워시365 롯데수퍼홍제점,셀프빨래방,서대문구,홍제1동,37.5851683,126.9473981
이지워시 셀프빨래방 홍제점,셀프빨래방,서대문구,홍제1동,37.5876881,126.9444053
크린토피아 코인워시 포방시장점,셀프빨래방,서대문구,홍은1동,37.6005712,126.9491333
이지워시셀프빨래방 홍은점,셀프빨래방,서대문구,홍은1동,37.5990018,126.9446543
