ADM_CD,버스 정류장 수,지하철역 수,총 대중교통 수
11080660,27,1.0,28.0
11080680,22,0.0,22.0
11080710,21,0.0,21.0
11080720,27,2.0,29.0
11080760,33,0.0,33.0
11080770,27,1.0,28.0
11080780,36,0.0,36.0
11080810,46,0.0,46.0
11080820,38,3.0,41.0
11080830,17,0.0,17.0
11080840,59,0.0,59.0
11080850,30,2.0,32.0
11090600,23,1.0,24.0
11090610,42,0.0,42.0
11090620,35,0.0,35.0
11090630,39,1.0,40.0
11090640,13,1.0,14.0
11090650,24,0.0,24.0
11090690,29,3.0,32.0
11090700,27,1.0,28.0
11090710,57,0.0,57.0
11090720,18,1.0,19.0
11090730,22,0.0,22.0
11090740,34,3.0,37.0
11090750,49,0.0,49.0
11100510,44,0.0,44.0
11100520,15,0.0,15.0
11100530,15,0.0,15.0
11100540,17,0.0,17.0
11100550,31,1.0,32.0
11100560,23,0.0,23.0
11100570,26,0.0,26.0
11100590,21,2.0,23.0
11100600,25,0.0,25.0
11100610,14,0.0,14.0
11100620,37,1.0,38.0
11100630,18,1.0,19.0
11100640,36,0.0,36.0
11100650,43,3.0,46.0
11110510,43,0.0,43.0
11110520,40,1.0,41.0
11110530,24,1.0,25.0
11110560,52,1.0,53.0
11110580,32,0.0,32.0
11110590,22,1.0,23.0
11110600,18,0.0,18.0
11110610,18,0.0,18.0
11110640,7,0.0,7.0
11110650,29,1.0,30.0
11110660,25,1.0,26.0
11110690,27,1.0,28.0
11110720,12,1.0,13.0
11110730,18,0.0,18.0
11110740,24,0.0,24.0
11110760,20,1.0,21.0
11110770,29,1.0,30.0
11110780,31,1.0,32.0
11110790,45,3.0,48.0
11120510,27,2.0,29.0
11120520,38,1.0,39.0
11120550,33,0.0,33.0
11120560,29,1.0,30.0
11120570,34,0.0,34.0
11120580,24,4.0,28.0
11120590,23,0.0,23.0
11120600,35,0.0,35.0
11120650,24,1.0,25.0
11120660,31,1.0,32.0
11120670,11,1.0,12.0
11120680,20,3.0,23.0
11120710,72,1.0,73.0
11120720,26,1.0,27.0
11120730,25,0.0,25.0
11120740,50,0.0,50.0
11130520,37,1.0,38.0
11130620,22,2.0,24.0
11130640,43,0.0,43.0
11130650,9,0.0,9.0
11130660,30,0.0,30.0
11130680,71,0.0,71.0
11130690,15,1.0,16.0
11130700,25,0.0,25.0
11130710,12,0.0,12.0
11130720,36,0.0,36.0
11130730,43,3.0,46.0
11130740,16,0.0,16.0
11130750,47,2.0,49.0
11130760,57,0.0,57.0
11140590,25,1.0,26.0
11140600,31,3.0,34.0
11140610,10,0.0,10.0
11140630,24,0.0,24.0
11140660,82,5.0,87.0
11140680,32,2.0,34.0
11140690,23,0.0,23.0
11140700,37,0.0,37.0
11140710,22,0.0,22.0
11140720,26,0.0,26.0
11140730,41,2.0,43.0
11140740,103,2.0,105.0
11140750,34,3.0,37.0
11140760,64,2.0,66.0
11140770,36,2.0,38.0
11140780,17,2.0,19.0
11150510,24,2.0,26.0
11150520,16,2.0,18.0
11150530,8,1.0,9.0
11150540,14,0.0,14.0
11150570,9,0.0,9.0
11150580,9,0.0,9.0
11150590,11,0.0,11.0
11150600,10,0.0,10.0
11150610,13,0.0,13.0
11150620,12,0.0,12.0
11150630,19,0.0,19.0
11150640,28,0.0,28.0
11150650,14,0.0,14.0
11150660,60,1.0,61.0
11150690,19,0.0,19.0
11150700,27,1.0,28.0
11150710,28,0.0,28.0
11150720,18,1.0,19.0
11160510,37,0.0,37.0
11160520,15,1.0,16.0
11160530,9,0.0,9.0
11160540,49,1.0,50.0
11160550,25,0.0,25.0
11160570,28,0.0,28.0
11160580,9,0.0,9.0
11160590,30,0.0,30.0
11160610,29,0.0,29.0
11160630,27,0.0,27.0
11160650,15,0.0,15.0
11160660,15,0.0,15.0
11160670,58,1.0,59.0
11160690,58,2.0,60.0
11160700,43,2.0,45.0
11160710,34,7.0,41.0
11160730,27,2.0,29.0
11160740,28,1.0,29.0
11160751,62,3.0,65.0
11160761,21,1.0,22.0
11170510,33,3.0,36.0
11170520,21,0.0,21.0
11170540,47,2.0,49.0
11170550,13,1.0,14.0
11170560,34,1.0,35.0
11170610,31,0.0,31.0
11170620,36,0.0,36.0
11170640,25,0.0,25.0
11170650,22,0.0,22.0
11170670,14,1.0,15.0
11170690,41,2.0,43.0
11170700,9,0.0,9.0
11170710,42,1.0,43.0
11170720,42,1.0,43.0
11170730,58,1.0,59.0
11170740,31,0.0,31.0
11180510,105,3.0,108.0
11180520,66,0.0,66.0
11180530,9,0.0,9.0
11180540,22,0.0,22.0
11180550,15,0.0,15.0
11180570,41,1.0,42.0
11180580,23,0.0,23.0
11180590,16,0.0,16.0
