name,lat,lng
서울특별시 강서구 가양1동,37.571913,126.834985
서울특별시 강서구 가양2동,37.567016,126.85346
서울특별시 강서구 가양3동,37.561699,126.860942
서울특별시 강서구 발산1동,37.550557,126.825091
서울특별시 강서구 공항동,37.55591,126.794852
서울특별시 강서구 방화1동,37.568618,126.817616
서울특별시 강서구 방화2동,37.583056,126.803953
서울특별시 강서구 방화3동,37.582181,126.817598
서울특별시 강서구 화곡1동,37.53378,126.840936
서울특별시 강서구 우장산동,37.550572,126.841015
서울특별시 구로구 신도림동,37.509734,126.882847
서울특별시 구로구 구로1동,37.493032,126.87546
서울특별시 구로구 구로3동,37.484879,126.894984
서울특별시 구로구 구로4동,37.491536,126.890197
서울특별시 구로구 구로5동,37.50203,126.888481
서울특별시 구로구 고척1동,37.500659,126.863399
서울특별시 구로구 고척2동,37.505854,126.853311
서울특별시 구로구 개봉2동,37.49273,126.856364
서울특별시 구로구 개봉3동,37.486836,126.852411
서울특별시 구로구 오류1동,37.496964,126.841634
서울특별시 구로구 항동,37.481023,126.824479
서울특별시 구로구 수궁동,37.498498,126.826099
서울특별시 구로구 가리봉동,37.482555,126.888257
서울특별시 구로구 구로2동,37.497455,126.879494
서울특별시 구로구 개봉1동,37.499885,126.849876
서울특별시 금천구 가산동,37.476835,126.884341
서울특별시 금천구 독산1동,37.464199,126.89272
서울특별시 금천구 독산2동,37.463825,126.902554
서울특별시 금천구 독산3동,37.475933,126.904594
서울특별시 금천구 독산4동,37.469219,126.904052
서울특별시 금천구 시흥1동,37.452886,126.900146
서울특별시 금천구 시흥2동,37.45059,126.920073
서울특별시 금천구 시흥3동,37.440276,126.905926
서울특별시 금천구 시흥4동,37.460078,126.909105
서울특별시 금천구 시흥5동,37.44875,126.912431
서울특별시 영등포구 여의동,37.528656,126.928636
서울특별시 영등포구 당산1동,37.523931,126.896851
서울특별시 영등포구 당산2동,37.533719,126.902867
서울특별시 영등포구 양평1동,37.525074,126.887073
서울특별시 영등포구 양평2동,37.543485,126.890656
서울특별시 영등포구 신길1동,37.512338,126.919511
서울특별시 영등포구 신길3동,37.506447,126.905887
서울특별시 영등포구 신길4동,37.507285,126.912918
서울특별시 영등포구 신길5동,37.501117,126.905555
서울특별시 영등포구 신길6동,37.499156,126.913541
서울특별시 영등포구 신길7동,37.505798,126.919803
서울특별시 영등포구 대림1동,37.493769,126.905262
서울특별시 영등포구 대림2동,37.489635,126.900643
서울특별시 영등포구 대림3동,37.499868,126.897272
서울특별시 영등포구 영등포본동,37.513722,126.909696
서울특별시 영등포구 영등포동,37.521522,126.907842
서울특별시 영등포구 도림동,37.509277,126.901236
서울특별시 영등포구 문래동,37.51638,126.891472
서울특별시 동작구 노량진2동,37.51082,126.938052
서울특별시 동작구 상도1동,37.498329,126.95347
서울특별시 동작구 상도2동,37.503674,126.94206
서울특별시 동작구 상도3동,37.497228,126.933354
서울특별시 동작구 상도4동,37.497429,126.940763
서울특별시 동작구 사당1동,37.479717,126.977409
서울특별시 동작구 사당3동,37.488812,126.970862
서울특별시 동작구 사당4동,37.480591,126.97077
서울특별시 동작구 사당5동,37.485804,126.96504
서울특별시 동작구 대방동,37.507114,126.928026
서울특별시 동작구 신대방1동,37.489948,126.910706
서울특별시 동작구 신대방2동,37.49431,126.921532
서울특별시 동작구 흑석동,37.505338,126.962445
서울특별시 동작구 노량진1동,37.512341,126.949276
서울특별시 동작구 사당2동,37.497025,126.974945
서울특별시 관악구 보라매동,37.490358,126.932595
서울특별시 관악구 청림동,37.489415,126.959569
서울특별시 관악구 행운동,37.480904,126.960622
서울특별시 관악구 낙성대동,37.467231,126.960046
서울특별시 관악구 중앙동,37.484122,126.950618
서울특별시 관악구 인헌동,37.472078,126.966619
서울특별시 관악구 남현동,37.462472,126.97664
서울특별시 관악구 서원동,37.480602,126.933445
서울특별시 관악구 신원동,37.4793,126.926699
서울특별시 관악구 서림동,37.473548,126.93921
서울특별시 관악구 신사동,37.485625,126.918753
서울특별시 관악구 신림동,37.4869,126.927613
서울특별시 관악구 난향동,37.461589,126.918266
서울특별시 관악구 조원동,37.482938,126.907525
서울특별시 관악구 대학동,37.453208,126.948401
서울특별시 관악구 은천동,37.486821,126.942209
서울특별시 관악구 성현동,37.489515,126.951166
서울특별시 관악구 청룡동,37.478049,126.945884
서울특별시 관악구 난곡동,37.470495,126.921049
서울특별시 관악구 삼성동,37.460669,126.930137
서울특별시 관악구 미성동,37.475938,126.915426
서울특별시 서초구 서초1동,37.486955,127.020139
서울특별시 서초구 서초2동,37.488817,127.02791
서울특별시 서초구 서초3동,37.485431,127.009592
서울특별시 서초구 서초4동,37.498985,127.019964
서울특별시 서초구 잠원동,37.517638,127.013039
서울특별시 서초구 반포본동,37.504393,126.987703
서울특별시 서초구 반포1동,37.505506,127.016631
서울특별시 서초구 반포2동,37.506132,126.995905
서울특별시 서초구 반포3동,37.512408,127.003592
서울특별시 서초구 반포4동,37.499581,127.003289
서울특별시 서초구 방배본동,37.494949,126.987766
서울특별시 서초구 방배1동,37.484913,126.996303
서울특별시 서초구 방배2동,37.473015,126.988485
서울특별시 서초구 방배3동,37.47432,126.9979
서울특별시 서초구 방배4동,37.489819,126.990987
서울특별시 서초구 양재1동,37.469558,127.022531
서울특별시 서초구 양재2동,37.451148,127.045905
서울특별시 서초구 내곡동,37.456522,127.070548
서울특별시 강남구 신사동,37.525718,127.021395
서울특별시 강남구 논현1동,37.51191,127.026496
서울특별시 강남구 논현2동,37.515206,127.036218
서울특별시 강남구 삼성1동,37.515397,127.060628
서울특별시 강남구 삼성2동,37.511839,127.04876
서울특별시 강남구 대치1동,37.493391,127.058965
서울특별시 강남구 대치4동,37.501661,127.054899
서울특별시 강남구 역삼1동,37.500889,127.035491
서울특별시 강남구 역삼2동,37.498502,127.044891
서울특별시 강남구 도곡1동,37.489045,127.040976
서울특별시 강남구 도곡2동,37.488211,127.049654
서울특별시 강남구 개포1동,37.479284,127.06471
서울특별시 강남구 개포4동,37.475552,127.053237
서울특별시 강남구 일원본동,37.48237,127.084675
서울특별시 강남구 일원1동,37.493386,127.089246
서울특별시 강남구 개포3동,37.495474,127.079317
서울특별시 강남구 수서동,37.486837,127.100569
서울특별시 강남구 세곡동,37.471075,127.104348
서울특별시 강남구 압구정동,37.52967,127.034395
