"동별(1)",동별(2),동별(3),2024 4/4,2024 4/4,2024 4/4,2024 4/4,2024 4/4,2024 4/4,2024 4/4,2024 4/4,2024 4/4,2024 4/4,2024 4/4,2024 4/4
"동별(1)",동별(2),동별(3),세대 (세대),계 (명),계 (명),계 (명),한국인 (명),한국인 (명),한국인 (명),등록외국인 (명),등록외국인 (명),등록외국인 (명),세대당인구 (명),65세이상고령자 (명)
"동별(1)",동별(2),동별(3),소계,소계,남자,여자,소계,남자,여자,소계,남자,여자,소계,소계
"합계",강동구,명일1동,9983,24935,12154,12781,24830,12115,12715,105,39,66,2.49,4775
"합계",강동구,명일2동,6411,16911,8216,8695,16843,8196,8647,68,20,48,2.63,3076
"합계",강동구,고덕1동,8153,23896,12241,11655,23818,12203,11615,78,38,40,2.92,3407
"합계",강동구,고덕2동,9743,25572,12864,12708,25325,12716,12609,247,148,99,2.6,3656
"합계",강동구,암사1동,15956,33515,16516,16999,33194,16390,16804,321,126,195,2.08,7126
"합계",강동구,암사2동,6366,14645,7063,7582,14572,7038,7534,73,25,48,2.29,2762
"합계",강동구,암사3동,6063,17127,8378,8749,17087,8357,8730,40,21,19,2.82,3123
"합계",강동구,천호1동,12883,25849,12617,13232,25555,12492,13063,294,125,169,1.98,6059
"합계",강동구,천호2동,18355,34952,16979,17973,34307,16688,17619,645,291,354,1.87,6880
"합계",강동구,천호3동,14870,26746,12796,13950,26163,12496,13667,583,300,283,1.76,5274
"합계",강동구,성내1동,8194,19242,9210,10032,19095,9156,9939,147,54,93,2.33,3519
"합계",강동구,성내2동,13797,24435,11859,12576,23833,11579,12254,602,280,322,1.73,5018
"합계",강동구,성내3동,10572,22157,10751,11406,21777,10592,11185,380,159,221,2.06,4491
