주소2,주소3,안전,여가,식당,의료,마트,편의 시설,대중교통,행정동코드
종로구,창신1동,22,36,47,44,32,52,38,1110670
종로구,창신2동,23,28,38,35,30,30,21,1110680
종로구,창신3동,23,29,26,33,27,29,35,1110690
종로구,청운효자동,22,26,28,22,25,24,30,1110720
종로구,평창동,20,24,22,21,21,21,29,1110560
종로구,혜화동,22,53,40,28,36,29,39,1110730
중구,광희동,23,42,52,33,67,49,45,1120590
중구,다산동,25,31,37,33,40,29,29,1120700
중구,동화동,24,36,38,39,53,30,27,1120730
중구,명동,24,64,84,51,88,100,54,1120550
중구,소공동,23,46,60,37,72,67,69,1120520
중구,신당5동,23,28,42,37,40,32,31,1120650
중구,신당동,24,30,45,34,52,44,30,1120690
중구,약수동,22,30,31,39,43,31,34,1120710
중구,을지로동,23,56,70,41,62,55,49,1120600
중구,장충동,22,23,28,23,33,26,29,1120580
중구,중림동,24,31,37,35,41,30,30,1120680
중구,청구동,24,38,31,34,35,27,26,1120720
중구,필동,22,32,41,27,41,38,29,1120570
중구,황학동,23,40,44,40,54,38,30,1120670
중구,회현동,23,34,53,37,52,61,60,1120540
중랑구,망우3동,49,23,27,29,28,24,26,1170680
중랑구,망우본동,48,25,29,26,28,25,31,1170730
중랑구,면목2동,49,27,36,33,35,25,35,1170520
중랑구,면목3·8동,48,26,33,27,29,26,30,1170720
중랑구,면목4동,49,28,27,28,30,25,28,1170540
중랑구,면목5동,49,24,27,29,28,23,28,1170550
중랑구,면목7동,48,26,29,29,26,24,28,1170570
중랑구,면목본동,50,27,40,38,41,29,37,1170710
중랑구,묵1동,49,26,29,29,32,23,33,1170640
중랑구,묵2동,50,30,36,33,35,25,36,1170650
중랑구,상봉1동,49,25,28,30,31,24,28,1170590
중랑구,상봉2동,49,38,50,37,48,31,34,1170600
중랑구,신내1동,48,25,25,24,26,22,32,1170690
중랑구,신내2동,47,27,25,31,25,27,30,1170700
중랑구,중화1동,49,23,27,34,34,26,31,1170610
중랑구,중화2동,49,27,37,32,36,27,35,1170620
